pressure,weather_conditions,wind_speed,humidity,temperature,wind_direction
1014.0,0,2.0,70.0,278.45,350.0
1016.0,0,0.0,100.0,279.99,0.0
1017.0,0,0.0,76.0,283.44,0.0
1016.0,0,0.0,58.0,285.7,0.0
1016.0,0,0.0,48.0,288.2,0.0
1015.0,0,2.0,45.0,289.04,190.0
1014.0,0,0.0,48.0,289.48,0.0
1014.0,0,0.0,62.0,285.15,0.0
1015.0,0,0.0,100.0,281.11,0.0
1016.0,0,1.0,76.0,280.5,150.0
1016.0,0,0.0,76.0,280.19,0.0
1016.0,0,0.0,81.0,279.88,0.0
1015.0,0,0.0,81.0,279.65,0.0
1016.0,0,2.0,87.0,279.32,120.0
1006.0,0,0.0,93.0,285.68,0.0
1006.0,0,0.0,87.0,285.916666667,32.0
1006.0,0,1.0,81.0,286.153333333,64.0
1012.0,0,4.0,62.0,282.4,250.0
1012.0,0,4.0,58.0,281.9,260.0
1013.0,0,3.0,62.0,282.03,250.0
1014.0,0,3.0,66.0,281.48,260.0
1014.0,0,3.0,70.0,280.85,260.0
1015.0,0,3.0,70.0,280.45,270.0
1014.0,0,3.0,63.0,283.49,304.0
1013.0,0,4.0,64.0,284.995,301.0
1013.0,0,5.0,65.0,286.5,299.0
1016.0,0,4.0,42.0,290.33,290.0
1015.0,0,4.0,37.0,290.52,280.0
1018.0,0,4.0,50.0,284.39,280.0
1019.0,0,3.0,50.0,282.9,290.0
1019.0,0,3.0,58.0,282.18,260.0
1020.0,0,3.0,70.0,280.45,240.0
1020.0,0,2.0,70.0,279.93,260.0
1020.0,0,3.0,76.0,279.37,250.0
1021.0,0,3.0,70.0,279.35,250.0
1021.0,0,3.0,70.0,280.7,240.0
1022.0,0,2.0,62.0,284.06,230.0
1022.0,0,3.0,50.0,286.91,300.0
1021.0,0,4.0,44.0,288.73,310.0
1021.0,0,4.0,39.0,289.91,300.0
1020.0,0,3.0,39.0,290.91,290.0
1019.0,0,3.0,39.0,291.39,300.0
1019.0,0,4.0,40.0,292.03,280.0
1018.0,0,3.0,37.0,292.1,280.0
1019.0,0,5.0,35.0,291.79,290.0
1019.0,0,5.0,42.0,290.06,260.0
1019.0,0,0.0,87.0,285.73,0.0
1019.0,0,0.0,64.0,294.71,0.0
1013.0,0,1.0,77.0,287.57,40.0
1013.0,0,0.0,77.0,287.19,0.0
1005.0,0,2.0,75.0,279.66,270.0
1017.0,0,3.0,56.0,275.81,290.0
1017.0,0,2.0,56.0,275.17,300.0
1016.0,0,1.0,80.0,274.76,270.0
1016.0,0,0.0,80.0,274.67,0.0
1017.0,0,0.0,65.0,277.2,0.0
1017.0,0,3.0,60.0,278.83,310.0
1017.0,0,4.0,56.0,279.74,310.0
1013.0,0,3.0,60.0,280.34,312.0
1013.0,0,3.0,60.0,280.34,312.0
1013.0,0,3.0,60.0,280.34,312.0
1013.0,0,3.0,60.0,280.34,312.0
1013.0,0,3.0,60.0,280.34,312.0
1013.0,0,3.0,60.0,280.34,312.0
1013.0,0,3.0,60.0,280.34,312.0
1013.0,0,3.0,60.0,280.34,312.0
1013.0,0,3.0,60.0,280.34,312.0
1013.0,0,3.0,88.0,272.36,322.0
1013.0,0,3.0,88.0,272.36,322.0
1013.0,0,3.0,88.0,272.36,322.0
1013.0,0,3.0,88.0,272.36,322.0
1013.0,0,3.0,88.0,272.36,322.0
1013.0,0,3.0,88.0,272.36,322.0
1013.0,0,4.0,58.0,277.93,337.0
1013.0,0,4.0,58.0,277.93,337.0
1013.0,0,4.0,58.0,277.93,337.0
1013.0,0,4.0,58.0,277.93,337.0
1023.0,0,3.0,55.0,272.1,20.0
1023.0,0,4.0,51.0,271.62,360.0
1023.0,0,4.0,50.0,271.01,360.0
1023.0,0,4.0,50.0,270.47,30.0
1023.0,0,0.0,92.0,270.52,0.0
1020.0,0,1.0,52.0,277.44,30.0
1015.0,0,1.0,69.0,275.33,20.0
1011.0,0,5.0,39.0,279.33,350.0
1010.0,0,5.0,29.0,281.79,340.0
1010.0,0,4.0,27.0,282.84,330.0
1010.0,0,4.0,27.0,282.55,320.0
1011.0,0,4.0,27.0,281.54,340.0
1014.0,0,9.0,26.0,279.1,330.0
1015.0,0,8.0,28.0,278.44,340.0
1015.0,0,9.0,28.0,277.6,340.0
1016.0,0,7.0,33.0,276.82,330.0
1016.0,0,7.0,41.0,276.2,340.0
1017.0,0,4.0,41.0,275.79,320.0
1017.0,0,3.0,44.0,275.37,330.0
1018.0,0,3.0,41.0,274.95,300.0
1018.0,0,1.0,44.0,274.29,290.0
1018.0,0,3.0,55.0,274.05,260.0
1019.0,0,1.0,51.0,274.57,270.0
1019.0,0,1.0,55.0,275.04,300.0
1020.0,0,4.0,56.0,277.25,320.0
1021.0,0,5.0,52.0,279.3,320.0
1020.0,0,2.0,52.0,280.68,320.0
1021.0,0,4.0,39.0,282.69,310.0
1020.0,0,4.0,40.0,283.58,330.0
1020.0,0,4.0,34.0,284.35,300.0
1019.0,0,4.0,34.0,285.07,290.0
1020.0,0,3.0,37.0,285.17,300.0
1019.0,0,3.0,40.0,284.59,300.0
1022.0,0,0.0,56.0,280.35,0.0
1022.0,0,0.0,75.0,278.06,0.0
1024.0,0,1.0,81.0,275.77,220.0
1024.0,0,0.0,86.0,275.19,0.0
1024.0,0,0.0,86.0,274.8,0.0
1024.0,0,0.0,75.0,274.72,0.0
1025.0,0,0.0,80.0,274.36,0.0
1025.0,0,0.0,100.0,273.98,0.0
1026.0,0,0.0,86.0,273.77,0.0
1027.0,0,0.0,93.0,276.14,0.0
1027.0,0,0.0,75.0,279.3,0.0
1029.0,0,0.0,86.0,280.11,0.0
1013.0,0,1.0,72.0,284.75,161.0
1013.0,0,1.0,72.0,284.75,161.0
1013.0,0,2.0,94.0,279.67,190.0
1013.0,0,2.0,94.0,279.67,190.0
1013.0,0,2.0,94.0,279.67,190.0
1013.0,0,2.0,94.0,279.67,190.0
1013.0,0,2.0,94.0,279.67,190.0
1013.0,0,2.0,94.0,279.67,190.0
1013.0,0,2.0,80.0,285.62,199.0
1013.0,0,2.0,80.0,285.62,199.0
1013.0,0,2.0,80.0,285.62,199.0
1033.0,0,0.0,62.0,288.32,0.0
1031.0,0,1.0,55.0,290.55,210.0
1030.0,0,2.0,45.0,291.64,190.0
1030.0,0,2.0,40.0,292.82,210.0
1029.0,0,3.0,37.0,292.88,180.0
1030.0,0,3.0,37.0,292.13,180.0
1030.0,0,0.0,48.0,289.68,0.0
1031.0,0,2.0,66.0,286.69,190.0
1031.0,0,2.0,62.0,285.4,180.0
1032.0,0,2.0,66.0,284.13,190.0
1031.0,0,2.0,71.0,283.49,170.0
1031.0,0,2.0,66.0,282.87,160.0
1031.0,0,6.0,56.0,277.22,10.0
1032.0,0,4.0,56.0,276.78,360.0
1031.0,0,1.0,64.0,276.4,350.0
1032.0,0,6.0,55.0,275.63,360.0
1032.0,0,6.0,55.0,275.14,360.0
1033.0,0,5.0,59.0,274.75,350.0
1032.0,0,2.0,74.0,274.66,340.0
1032.0,0,2.0,74.0,274.55,340.0
1033.0,0,0.0,74.0,273.44,0.0
1033.0,0,1.0,74.0,273.24,330.0
1034.0,0,5.0,60.0,277.18,360.0
1034.0,0,2.0,56.0,278.68,360.0
1034.0,0,6.0,42.0,279.88,360.0
1033.0,0,2.0,42.0,280.72,50.0
1032.0,0,2.0,45.0,281.23,350.0
1031.0,0,4.0,45.0,281.52,10.0
1022.0,0,1.0,33.0,276.165,29.0
1013.0,0,3.0,66.0,279.31,39.0
1013.0,0,3.0,66.0,279.31,39.0
1026.0,0,0.0,69.0,275.2,0.0
1029.0,0,2.0,45.0,276.335,335.0
1030.0,0,2.0,48.0,275.84,320.0
1030.0,0,2.0,60.0,274.89,10.0
1031.0,0,2.0,56.0,274.41,360.0
1031.0,0,2.0,60.0,274.08,340.0
1031.0,0,3.0,55.0,274.04,360.0
1031.0,0,4.0,55.0,273.84,360.0
1032.0,0,3.0,59.0,273.2,10.0
1033.0,0,3.0,64.0,273.1,360.0
1033.0,0,3.0,55.0,272.79,360.0
1034.0,0,4.0,64.0,272.99,10.0
1034.0,0,4.0,64.0,273.61,360.0
1035.0,0,4.0,59.0,273.7,360.0
1035.0,0,4.0,60.0,276.09,10.0
1036.0,0,6.0,48.0,278.67,30.0
1037.0,0,6.0,45.0,281.08,40.0
1037.0,0,4.0,43.0,282.94,30.0
1036.0,0,4.0,37.0,284.22,50.0
1036.0,0,4.0,40.0,284.8,60.0
1035.0,0,5.0,40.0,285.04,30.0
1036.0,0,2.0,37.0,284.87,50.0
1032.0,0,6.0,75.0,276.03,30.0
1023.0,0,3.0,52.0,278.68,90.0
1024.0,0,2.0,49.0,276.99,70.0
1024.0,0,2.0,49.0,276.1,40.0
1024.0,0,1.0,52.0,275.29,350.0
1024.0,0,0.0,69.0,273.8,0.0
1024.0,0,1.0,60.0,273.82,350.0
1024.0,0,0.0,64.0,273.44,0.0
1024.0,0,0.0,64.0,272.94,0.0
1024.0,0,2.0,69.0,272.72,340.0
1024.0,0,3.0,64.0,272.6,350.0
1024.0,0,3.0,64.0,272.51,350.0
